Gear: Cannondale SuperSix
Date: Nov 24, 2020, 9:58:35 AM

distance: 0.0 m
enhanced_speed: 4.778 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
position_lat: -303053619 semicircles
position_long: -587538159 semicircles
speed: 4.778 m/s
timestamp: 2020-11-24 09:58:35

battery_soc: 82.0 percent
cadence: 31 rpm
calories: 0 kcal
distance: 2.9 m
enhanced_speed: 4.689 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 0.0 percent
position_lat: -303053887 semicircles
position_long: -587537998 semicircles
power: 38 watts
right_pedal_smoothness: 15.5 percent
right_torque_effectiveness: 53.0 percent
speed: 4.689 m/s
timestamp: 2020-11-24 09:58:36

cadence: 40 rpm
calories: 0 kcal
distance: 6.44 m
enhanced_speed: 4.757 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 5.0 percent
position_lat: -303054224 semicircles
position_long: -587537818 semicircles
power: 56 watts
right_pedal_smoothness: 15.5 percent
right_torque_effectiveness: 55.5 percent
speed: 4.757 m/s
timestamp: 2020-11-24 09:58:37

cadence: 46 rpm
calories: 0 kcal
distance: 11.45 m
enhanced_speed: 5.042 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 10.0 percent
left_right_balance: 45
position_lat: -303054728 semicircles
position_long: -587537605 semicircles
power: 70 watts
right_pedal_smoothness: 16.0 percent
right_torque_effectiveness: 58.0 percent
speed: 5.042 m/s
timestamp: 2020-11-24 09:58:38

cadence: 48 rpm
calories: 0 kcal
distance: 16.64 m
enhanced_speed: 5.047 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 14.5 percent
left_right_balance: 48
left_torque_effectiveness: 60.0 percent
position_lat: -303055270 semicircles
position_long: -587537438 semicircles
power: 77 watts
right_pedal_smoothness: 16.0 percent
right_torque_effectiveness: 60.5 percent
speed: 5.047 m/s
temperature: 14 C
timestamp: 2020-11-24 09:58:39

cadence: 50 rpm
calories: 0 kcal
distance: 22.61 m
enhanced_speed: 5.398 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 51
left_torque_effectiveness: 59.5 percent
position_lat: -303055899 semicircles
position_long: -587537300 semicircles
power: 74 watts
right_pedal_smoothness: 16.0 percent
right_torque_effectiveness: 62.5 percent
speed: 5.398 m/s
temperature: 14 C
timestamp: 2020-11-24 09:58:40

cadence: 52 rpm
calories: 0 kcal
distance: 28.82 m
enhanced_speed: 5.912 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 17.5 percent
left_right_balance: 54
left_torque_effectiveness: 58.5 percent
position_lat: -303056559 semicircles
position_long: -587537164 semicircles
power: 74 watts
right_pedal_smoothness: 16.0 percent
right_torque_effectiveness: 62.5 percent
speed: 5.912 m/s
temperature: 14 C
timestamp: 2020-11-24 09:58:41

cadence: 54 rpm
calories: 0 kcal
distance: 35.41 m
enhanced_speed: 5.817 m/s
gps_accuracy: 2 m
heart_rate: 84 bpm
left_pedal_smoothness: 16.5 percent
left_right_balance: 52
left_torque_effectiveness: 54.0 percent
position_lat: -303057254 semicircles
position_long: -587537004 semicircles
power: 80 watts
right_pedal_smoothness: 14.5 percent
right_torque_effectiveness: 59.0 percent
speed: 5.817 m/s
temperature: 14 C
timestamp: 2020-11-24 09:58:42

cadence: 54 rpm
calories: 0 kcal
distance: 41.69 m
enhanced_speed: 5.387 m/s
gps_accuracy: 2 m
heart_rate: 84 bpm
left_pedal_smoothness: 16.5 percent
left_right_balance: 51
left_torque_effectiveness: 52.0 percent
position_lat: -303057883 semicircles
position_long: -587536759 semicircles
power: 119 watts
right_pedal_smoothness: 14.0 percent
right_torque_effectiveness: 56.5 percent
