Gear: Cannondale SuperSix
Date: Nov 3, 2020, 9:41:33 AM

altitude: 931.2 m
distance: 0.0 m
enhanced_altitude: 931.2 m
enhanced_speed: 4.047 m/s
gps_accuracy: 2 m
position_lat: -303050843 semicircles
position_long: -587539706 semicircles
speed: 4.047 m/s
timestamp: 2020-11-03 09:41:33

altitude: 931.2 m
ascent: 0 m
battery_soc: 74.0 percent
cadence: 30 rpm
calories: 0 kcal
distance: 2.63 m
enhanced_altitude: 931.2 m
enhanced_speed: 4.303 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 83 bpm
position_lat: -303051085 semicircles
position_long: -587539572 semicircles
power: 89 watts
speed: 4.303 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:34

altitude: 931.2 m
ascent: 0 m
cadence: 31 rpm
calories: 0 kcal
distance: 5.79 m
enhanced_altitude: 931.2 m
enhanced_speed: 4.375 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 83 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 52
left_torque_effectiveness: 80.5 percent
position_lat: -303051387 semicircles
position_long: -587539408 semicircles
power: 88 watts
right_pedal_smoothness: 24.0 percent
right_torque_effectiveness: 80.5 percent
speed: 4.375 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:35

altitude: 931.2 m
ascent: 0 m
cadence: 32 rpm
calories: 0 kcal
distance: 10.08 m
enhanced_altitude: 931.2 m
enhanced_speed: 4.048 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 83 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 51
left_torque_effectiveness: 77.0 percent
position_lat: -303051816 semicircles
position_long: -587539193 semicircles
power: 87 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 77.5 percent
speed: 4.048 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:36

altitude: 931.2 m
ascent: 0 m
cadence: 32 rpm
calories: 0 kcal
distance: 14.22 m
enhanced_altitude: 931.2 m
enhanced_speed: 4.012 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 84 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 50
left_torque_effectiveness: 73.5 percent
position_lat: -303052224 semicircles
position_long: -587539012 semicircles
power: 81 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 74.0 percent
speed: 4.012 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:37

altitude: 931.0 m
ascent: 0 m
cadence: 33 rpm
calories: 0 kcal
distance: 18.42 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.278 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 85 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 48
left_torque_effectiveness: 70.0 percent
position_lat: -303052650 semicircles
position_long: -587538832 semicircles
power: 75 watts
right_pedal_smoothness: 22.0 percent
right_torque_effectiveness: 71.0 percent
speed: 4.278 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:38

altitude: 931.0 m
ascent: 0 m
cadence: 31 rpm
calories: 0 kcal
distance: 22.89 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.215 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 85 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 47
left_torque_effectiveness: 66.5 percent
position_lat: -303053118 semicircles
position_long: -587538648 semicircles
power: 62 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 67.5 percent
speed: 4.215 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:39

altitude: 931.0 m
ascent: 0 m
cadence: 28 rpm
calories: 0 kcal
distance: 27.39 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.412 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 86 bpm
left_pedal_smoothness: 14.5 percent
left_right_balance: 47
left_torque_effectiveness: 55.5 percent
position_lat: -303053565 semicircles
position_long: -587538466 semicircles
power: 45 watts
right_pedal_smoothness: 19.5 percent
right_torque_effectiveness: 63.0 percent
speed: 4.412 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:40

altitude: 931.0 m
ascent: 0 m
cadence: 27 rpm
calories: 0 kcal
distance: 31.93 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.272 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 86 bpm
left_pedal_smoothness: 9.5 percent
left_right_balance: 47
left_torque_effectiveness: 44.0 percent
position_lat: -303054031 semicircles
position_long: -587538299 semicircles
power: 31 watts
right_pedal_smoothness: 18.0 percent
right_torque_effectiveness: 58.5 percent
speed: 4.272 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:41

altitude: 931.0 m
ascent: 0 m
cadence: 27 rpm
calories: 0 kcal
distance: 36.29 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.288 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 87 bpm
left_pedal_smoothness: 7.0 percent
left_right_balance: 47
left_torque_effectiveness: 32.0 percent
position_lat: -303054480 semicircles
position_long: -587538151 semicircles
power: 20 watts
right_pedal_smoothness: 17.0 percent
right_torque_effectiveness: 56.0 percent
speed: 4.288 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:42

altitude: 931.0 m
ascent: 0 m
cadence: 30 rpm
calories: 0 kcal
distance: 40.94 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.502 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 88 bpm
left_pedal_smoothness: 7.5 percent
left_right_balance: 47
left_torque_effectiveness: 26.5 percent
position_lat: -303054962 semicircles
position_long: -587537995 semicircles
power: 29 watts
right_pedal_smoothness: 16.5 percent
right_torque_effectiveness: 54.5 percent
speed: 4.502 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:43

altitude: 931.0 m
ascent: 0 m
cadence: 34 rpm
calories: 0 kcal
distance: 46.08 m
enhanced_altitude: 931.0 m
enhanced_speed: 4.849 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 88 bpm
left_pedal_smoothness: 11.0 percent
left_right_balance: 51
left_torque_effectiveness: 42.0 percent
position_lat: -303055506 semicircles
position_long: -587537888 semicircles
power: 46 watts
right_pedal_smoothness: 14.5 percent
right_torque_effectiveness: 47.5 percent
speed: 4.849 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:44

altitude: 930.8 m
ascent: 0 m
cadence: 36 rpm
calories: 0 kcal
distance: 51.46 m
enhanced_altitude: 930.8 m
enhanced_speed: 5.092 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 88 bpm
left_pedal_smoothness: 15.0 percent
left_right_balance: 67
left_torque_effectiveness: 57.5 percent
position_lat: -303056068 semicircles
position_long: -587537767 semicircles
power: 59 watts
right_pedal_smoothness: 12.0 percent
right_torque_effectiveness: 40.5 percent
speed: 5.092 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:45

altitude: 930.8 m
ascent: 0 m
cadence: 38 rpm
calories: 0 kcal
distance: 56.87 m
enhanced_altitude: 930.8 m
enhanced_speed: 5.301 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 88 bpm
left_pedal_smoothness: 18.0 percent
left_right_balance: 66
left_torque_effectiveness: 66.0 percent
position_lat: -303056635 semicircles
position_long: -587537651 semicircles
power: 73 watts
right_pedal_smoothness: 11.5 percent
right_torque_effectiveness: 38.5 percent
speed: 5.301 m/s
temperature: 11 C
timestamp: 2020-11-03 09:41:46

altitude: 930.8 m
ascent: 0 m
cadence: 41 rpm
calories: 0 kcal
distance: 62.59 m
enhanced_altitude: 930.8 m
enhanced_speed: 5.504 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 87 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 64
left_torque_effectiveness: 70.0 percent
position_lat: -303057226 semicircles
position_long: -587537436 semicircles
power: 94 watts
right_pedal_smoothness: 11.5 percent
right_torque_effectiveness: 39.0 percent
speed: 5.504 m/s
temperature: 11 C
