Gear: Cannondale SuperSix
Date: Dec 1, 2020, 9:59:22 AM

battery_soc: 82.0 percent
heart_rate: 109 bpm
timestamp: 2020-12-01 09:58:17

cadence: 67 rpm
calories: 0 kcal
heart_rate: 109 bpm
left_pedal_smoothness: 25.5 percent
left_right_balance: 50
left_torque_effectiveness: 83.5 percent
power: 188 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 81.5 percent
timestamp: 2020-12-01 09:58:18

cadence: 67 rpm
calories: 0 kcal
heart_rate: 109 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 50
left_torque_effectiveness: 80.5 percent
power: 168 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 81.5 percent
timestamp: 2020-12-01 09:58:19

cadence: 68 rpm
calories: 0 kcal
heart_rate: 110 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 49
left_torque_effectiveness: 78.5 percent
power: 142 watts
right_pedal_smoothness: 24.5 percent
right_torque_effectiveness: 82.0 percent
timestamp: 2020-12-01 09:58:20

cadence: 69 rpm
calories: 0 kcal
heart_rate: 110 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 47
left_torque_effectiveness: 71.5 percent
power: 136 watts
right_pedal_smoothness: 24.5 percent
right_torque_effectiveness: 79.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:21

cadence: 70 rpm
calories: 0 kcal
heart_rate: 111 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 48
left_torque_effectiveness: 72.0 percent
power: 140 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 73.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:22

cadence: 71 rpm
calories: 0 kcal
heart_rate: 111 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 50
left_torque_effectiveness: 72.5 percent
power: 125 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 69.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:23

cadence: 72 rpm
calories: 0 kcal
heart_rate: 111 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 51
left_torque_effectiveness: 67.0 percent
power: 122 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 69.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:24

cadence: 73 rpm
calories: 0 kcal
heart_rate: 112 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 52
left_torque_effectiveness: 65.5 percent
power: 122 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 67.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:25

cadence: 74 rpm
calories: 0 kcal
heart_rate: 112 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 51
left_torque_effectiveness: 64.5 percent
power: 117 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 66.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:26

cadence: 75 rpm
calories: 1 kcal
heart_rate: 112 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 54
left_torque_effectiveness: 66.5 percent
power: 124 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 66.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:27

cadence: 75 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 54
left_torque_effectiveness: 68.5 percent
power: 136 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 66.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:28

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 50
left_torque_effectiveness: 69.0 percent
power: 159 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 67.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:29

cadence: 77 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 47
left_torque_effectiveness: 69.5 percent
power: 157 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 68.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:30

cadence: 77 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 51
left_torque_effectiveness: 70.5 percent
power: 133 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 70.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:31

cadence: 77 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 51
left_torque_effectiveness: 67.5 percent
power: 117 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 68.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:32

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 51
left_torque_effectiveness: 64.0 percent
power: 116 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 66.0 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:33

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 53
left_torque_effectiveness: 63.5 percent
power: 125 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 65.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:34

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 56
left_torque_effectiveness: 67.0 percent
power: 131 watts
right_pedal_smoothness: 18.5 percent
right_torque_effectiveness: 62.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:35

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 57
left_torque_effectiveness: 67.0 percent
power: 142 watts
right_pedal_smoothness: 18.5 percent
right_torque_effectiveness: 63.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:36

cadence: 76 rpm
calories: 1 kcal
heart_rate: 113 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 59
left_torque_effectiveness: 69.5 percent
power: 146 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.5 percent
temperature: 15 C
timestamp: 2020-12-01 09:58:37

cadence: 69 rpm
calories: 2 kcal
distance: 0.67 m
enhanced_speed: 7.439 m/s
gps_accuracy: 3 m
heart_rate: 98 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 53
left_torque_effectiveness: 62.0 percent
