Gear: Cannondale SuperSix
Date: Nov 29, 2020, 10:45:19 AM

altitude: 945.0 m
enhanced_altitude: 945.0 m
timestamp: 2020-11-29 10:45:18

altitude: 945.0 m
ascent: 0 m
battery_soc: 100.0 percent
cadence: 59 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_altitude: 945.0 m
enhanced_speed: 7.042 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 98 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 54
left_torque_effectiveness: 73.0 percent
position_lat: -303092213 semicircles
position_long: -587518999 semicircles
power: 154 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 68.0 percent
speed: 7.042 m/s
timestamp: 2020-11-29 10:45:19

altitude: 945.0 m
ascent: 0 m
cadence: 59 rpm
calories: 0 kcal
distance: 7.07 m
enhanced_altitude: 945.0 m
enhanced_speed: 6.482 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 97 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 55
left_torque_effectiveness: 77.0 percent
position_lat: -303092785 semicircles
position_long: -587518425 semicircles
power: 158 watts
right_pedal_smoothness: 22.0 percent
right_torque_effectiveness: 70.0 percent
speed: 6.482 m/s
timestamp: 2020-11-29 10:45:20

altitude: 945.2 m
ascent: 0 m
cadence: 58 rpm
calories: 0 kcal
distance: 13.68 m
enhanced_altitude: 945.2 m
enhanced_speed: 6.63 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 98 bpm
left_pedal_smoothness: 25.0 percent
left_right_balance: 59
left_torque_effectiveness: 81.0 percent
position_lat: -303093308 semicircles
position_long: -587517878 semicircles
power: 164 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 73.5 percent
speed: 6.63 m/s
timestamp: 2020-11-29 10:45:21

altitude: 945.2 m
ascent: 0 m
cadence: 56 rpm
calories: 0 kcal
distance: 20.44 m
enhanced_altitude: 945.2 m
enhanced_speed: 6.623 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 98 bpm
left_pedal_smoothness: 26.5 percent
left_right_balance: 59
left_torque_effectiveness: 85.5 percent
position_lat: -303093812 semicircles
position_long: -587517326 semicircles
power: 200 watts
right_pedal_smoothness: 24.5 percent
right_torque_effectiveness: 78.0 percent
speed: 6.623 m/s
timestamp: 2020-11-29 10:45:22

altitude: 945.4000000000001 m
ascent: 0 m
cadence: 55 rpm
calories: 0 kcal
distance: 26.94 m
enhanced_altitude: 945.4000000000001 m
enhanced_speed: 6.652 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 98 bpm
left_pedal_smoothness: 28.0 percent
left_right_balance: 54
left_torque_effectiveness: 89.5 percent
position_lat: -303094297 semicircles
position_long: -587516753 semicircles
power: 174 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 82.0 percent
speed: 6.652 m/s
temperature: 19 C
timestamp: 2020-11-29 10:45:23

altitude: 945.4000000000001 m
ascent: 0 m
cadence: 55 rpm
calories: 0 kcal
distance: 34.05 m
enhanced_altitude: 945.4000000000001 m
enhanced_speed: 6.827 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 99 bpm
left_pedal_smoothness: 26.0 percent
left_right_balance: 50
left_torque_effectiveness: 85.0 percent
position_lat: -303094833 semicircles
position_long: -587516150 semicircles
power: 150 watts
right_pedal_smoothness: 26.5 percent
right_torque_effectiveness: 86.5 percent
speed: 6.827 m/s
temperature: 19 C
timestamp: 2020-11-29 10:45:24

altitude: 945.4000000000001 m
ascent: 0 m
cadence: 56 rpm
calories: 0 kcal
distance: 40.86 m
