Gear: Cannondale SuperSix
Date: Nov 20, 2020, 9:55:16 AM

heart_rate: 89 bpm
timestamp: 2020-11-20 09:55:15

altitude: 943.5999999999999 m
ascent: 0 m
battery_soc: 76.0 percent
cadence: 43 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_altitude: 943.5999999999999 m
enhanced_speed: 3.959 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 89 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 51
left_torque_effectiveness: 73.5 percent
position_lat: -303083270 semicircles
position_long: -587526872 semicircles
power: 132 watts
right_pedal_smoothness: 28.0 percent
right_torque_effectiveness: 83.0 percent
speed: 3.959 m/s
temperature: 12 C
timestamp: 2020-11-20 09:55:16

altitude: 943.5999999999999 m
ascent: 0 m
cadence: 44 rpm
calories: 0 kcal
distance: 4.0 m
enhanced_altitude: 943.5999999999999 m
enhanced_speed: 4.312 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 90 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 53
left_torque_effectiveness: 76.5 percent
position_lat: -303083637 semicircles
position_long: -587526613 semicircles
power: 126 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 82.0 percent
speed: 4.312 m/s
temperature: 12 C
timestamp: 2020-11-20 09:55:17

altitude: 943.5999999999999 m
ascent: 0 m
cadence: 46 rpm
calories: 0 kcal
distance: 8.41 m
enhanced_altitude: 943.5999999999999 m
enhanced_speed: 4.412 m/s
gps_accuracy: 2 m
grade: -0.16 %
heart_rate: 90 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 53
left_torque_effectiveness: 78.0 percent
position_lat: -303084019 semicircles
position_long: -587526343 semicircles
power: 119 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 80.5 percent
speed: 4.412 m/s
temperature: 12 C
timestamp: 2020-11-20 09:55:18

altitude: 943.4000000000001 m
ascent: 0 m
cadence: 47 rpm
calories: 0 kcal
distance: 13.04 m
enhanced_altitude: 943.4000000000001 m
enhanced_speed: 4.555 m/s
gps_accuracy: 2 m
grade: -0.48 %
heart_rate: 91 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 52
left_torque_effectiveness: 77.0 percent
position_lat: -303084434 semicircles
position_long: -587526022 semicircles
power: 117 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 78.5 percent
speed: 4.555 m/s
temperature: 12 C
timestamp: 2020-11-20 09:55:19

altitude: 943.4000000000001 m
ascent: 0 m
cadence: 48 rpm
calories: 0 kcal
distance: 17.75 m
enhanced_altitude: 943.4000000000001 m
enhanced_speed: 4.801 m/s
gps_accuracy: 2 m
grade: -0.79 %
heart_rate: 91 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 54
left_torque_effectiveness: 76.0 percent
position_lat: -303084817 semicircles
position_long: -587525665 semicircles
power: 120 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 77.0 percent
speed: 4.801 m/s
temperature: 12 C
timestamp: 2020-11-20 09:55:20

