Gear: Cannondale SuperSix
Date: Oct 23, 2020, 10:17:59 AM

heart_rate: 78 bpm
timestamp: 2020-10-23 10:17:58

battery_soc: 73.0 percent
cadence: 26 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_speed: 3.564 m/s
gps_accuracy: 2 m
heart_rate: 78 bpm
left_right_balance: 49
position_lat: -303357724 semicircles
position_long: -588279808 semicircles
power: 63 watts
speed: 3.564 m/s
timestamp: 2020-10-23 10:17:59

cadence: 26 rpm
calories: 0 kcal
distance: 4.25 m
enhanced_speed: 3.622 m/s
gps_accuracy: 2 m
heart_rate: 78 bpm
left_right_balance: 51
position_lat: -303357667 semicircles
position_long: -588279337 semicircles
power: 67 watts
speed: 3.622 m/s
timestamp: 2020-10-23 10:18:00

cadence: 27 rpm
calories: 0 kcal
distance: 8.06 m
enhanced_speed: 3.777 m/s
gps_accuracy: 2 m
heart_rate: 78 bpm
left_right_balance: 54
position_lat: -303357562 semicircles
position_long: -588278886 semicircles
power: 71 watts
speed: 3.777 m/s
timestamp: 2020-10-23 10:18:01

cadence: 24 rpm
calories: 0 kcal
distance: 11.81 m
enhanced_speed: 3.904 m/s
gps_accuracy: 2 m
heart_rate: 79 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 50
left_torque_effectiveness: 73.5 percent
position_lat: -303357381 semicircles
position_long: -588278477 semicircles
power: 65 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 66.0 percent
speed: 3.904 m/s
timestamp: 2020-10-23 10:18:02

cadence: 16 rpm
calories: 0 kcal
distance: 15.67 m
enhanced_speed: 3.92 m/s
gps_accuracy: 2 m
heart_rate: 79 bpm
left_pedal_smoothness: 16.5 percent
left_right_balance: 46
left_torque_effectiveness: 59.5 percent
position_lat: -303357209 semicircles
position_long: -588278067 semicircles
power: 43 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 67.0 percent
speed: 3.92 m/s
temperature: 14 C
timestamp: 2020-10-23 10:18:03

cadence: 7 rpm
calories: 0 kcal
distance: 19.7 m
enhanced_speed: 4.198 m/s
gps_accuracy: 2 m
heart_rate: 79 bpm
left_pedal_smoothness: 12.5 percent
left_right_balance: 42
left_torque_effectiveness: 46.0 percent
position_lat: -303357107 semicircles
position_long: -588277609 semicircles
power: 20 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 68.0 percent
speed: 4.198 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:04

cadence: 0 rpm
calories: 0 kcal
distance: 24.08 m
enhanced_speed: 4.276 m/s
gps_accuracy: 2 m
heart_rate: 80 bpm
left_pedal_smoothness: 9.0 percent
left_right_balance: 38
left_torque_effectiveness: 32.0 percent
position_lat: -303357077 semicircles
position_long: -588277104 semicircles
power: 0 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 69.0 percent
speed: 4.276 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:05

cadence: 12 rpm
calories: 0 kcal
distance: 28.52 m
enhanced_speed: 4.35 m/s
gps_accuracy: 2 m
heart_rate: 81 bpm
left_pedal_smoothness: 5.0 percent
left_right_balance: 34
left_torque_effectiveness: 18.0 percent
position_lat: -303356978 semicircles
position_long: -588276578 semicircles
power: 13 watts
right_pedal_smoothness: 22.0 percent
right_torque_effectiveness: 70.5 percent
speed: 4.35 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:06

cadence: 23 rpm
calories: 0 kcal
distance: 33.03 m
enhanced_speed: 4.325 m/s
gps_accuracy: 2 m
heart_rate: 81 bpm
left_pedal_smoothness: 5.5 percent
left_right_balance: 38
left_torque_effectiveness: 21.0 percent
position_lat: -303356759 semicircles
position_long: -588276082 semicircles
power: 61 watts
right_pedal_smoothness: 22.0 percent
right_torque_effectiveness: 71.5 percent
speed: 4.325 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:07

cadence: 33 rpm
calories: 0 kcal
distance: 37.45 m
enhanced_speed: 4.373 m/s
gps_accuracy: 2 m
heart_rate: 81 bpm
left_pedal_smoothness: 12.5 percent
left_right_balance: 45
left_torque_effectiveness: 51.5 percent
position_lat: -303356453 semicircles
position_long: -588275712 semicircles
power: 109 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 73.0 percent
speed: 4.373 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:08

cadence: 34 rpm
calories: 0 kcal
distance: 41.84 m
enhanced_speed: 4.498 m/s
gps_accuracy: 2 m
heart_rate: 82 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 51
left_torque_effectiveness: 82.0 percent
position_lat: -303356108 semicircles
position_long: -588275350 semicircles
power: 135 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 74.5 percent
speed: 4.498 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:09

cadence: 35 rpm
calories: 0 kcal
distance: 46.36 m
enhanced_speed: 4.566 m/s
gps_accuracy: 2 m
heart_rate: 82 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 50
left_torque_effectiveness: 85.0 percent
position_lat: -303355730 semicircles
position_long: -588274998 semicircles
power: 136 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 79.5 percent
speed: 4.566 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:10

cadence: 36 rpm
calories: 0 kcal
distance: 51.05 m
enhanced_speed: 4.743 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 49
left_torque_effectiveness: 84.5 percent
position_lat: -303355330 semicircles
position_long: -588274673 semicircles
power: 124 watts
right_pedal_smoothness: 24.5 percent
right_torque_effectiveness: 85.0 percent
speed: 4.743 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:11

cadence: 36 rpm
calories: 0 kcal
distance: 55.94 m
enhanced_speed: 4.797 m/s
gps_accuracy: 2 m
heart_rate: 84 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 51
left_torque_effectiveness: 85.0 percent
position_lat: -303354904 semicircles
position_long: -588274346 semicircles
power: 124 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 88.0 percent
speed: 4.797 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:12

cadence: 37 rpm
calories: 0 kcal
distance: 60.88 m
enhanced_speed: 4.843 m/s
gps_accuracy: 2 m
heart_rate: 85 bpm
left_pedal_smoothness: 25.0 percent
left_right_balance: 53
left_torque_effectiveness: 86.0 percent
position_lat: -303354511 semicircles
position_long: -588273938 semicircles
power: 126 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 87.5 percent
speed: 4.843 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:13

cadence: 38 rpm
calories: 1 kcal
distance: 65.75 m
enhanced_speed: 4.836 m/s
gps_accuracy: 2 m
heart_rate: 86 bpm
left_pedal_smoothness: 26.5 percent
left_right_balance: 54
left_torque_effectiveness: 87.0 percent
position_lat: -303354115 semicircles
position_long: -588273577 semicircles
power: 112 watts
right_pedal_smoothness: 25.5 percent
right_torque_effectiveness: 86.5 percent
speed: 4.836 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:14

cadence: 38 rpm
calories: 1 kcal
distance: 70.34 m
enhanced_speed: 4.848 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 50
left_torque_effectiveness: 82.5 percent
position_lat: -303353768 semicircles
position_long: -588273192 semicircles
power: 107 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 80.0 percent
speed: 4.848 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:15

cadence: 38 rpm
calories: 1 kcal
distance: 75.63 m
enhanced_speed: 4.951 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 48
left_torque_effectiveness: 79.0 percent
position_lat: -303353323 semicircles
position_long: -588272798 semicircles
power: 108 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 78.5 percent
speed: 4.951 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:16

cadence: 38 rpm
calories: 1 kcal
distance: 80.66 m
enhanced_speed: 5.064 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 47
left_torque_effectiveness: 76.5 percent
position_lat: -303352892 semicircles
position_long: -588272435 semicircles
power: 110 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 79.5 percent
speed: 5.064 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:17

cadence: 39 rpm
calories: 1 kcal
distance: 85.58 m
enhanced_speed: 5.016 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
left_pedal_smoothness: 21.5 percent
left_right_balance: 49
left_torque_effectiveness: 75.5 percent
position_lat: -303352462 semicircles
position_long: -588272081 semicircles
power: 114 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 81.0 percent
speed: 5.016 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:18

cadence: 39 rpm
calories: 1 kcal
distance: 90.8 m
enhanced_speed: 5.153 m/s
gps_accuracy: 2 m
heart_rate: 90 bpm
left_pedal_smoothness: 26.5 percent
left_right_balance: 52
left_torque_effectiveness: 84.0 percent
position_lat: -303351995 semicircles
position_long: -588271750 semicircles
power: 119 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 81.0 percent
speed: 5.153 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:19

cadence: 40 rpm
calories: 1 kcal
distance: 95.93 m
enhanced_speed: 5.249 m/s
gps_accuracy: 2 m
heart_rate: 91 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 51
left_torque_effectiveness: 85.5 percent
position_lat: -303351521 semicircles
position_long: -588271392 semicircles
power: 112 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 79.0 percent
speed: 5.249 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:20

cadence: 41 rpm
calories: 1 kcal
distance: 101.19 m
enhanced_speed: 5.284 m/s
gps_accuracy: 2 m
heart_rate: 92 bpm
left_pedal_smoothness: 22.0 percent
left_right_balance: 50
left_torque_effectiveness: 81.5 percent
position_lat: -303351063 semicircles
position_long: -588271070 semicircles
power: 110 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 80.5 percent
speed: 5.284 m/s
temperature: 15 C
timestamp: 2020-10-23 10:18:21

cadence: 41 rpm
calories: 1 kcal
distance: 106.68 m
