Gear: Cannondale SuperSix
Date: Jan 12, 2021, 9:44:55 AM

battery_soc: 100.0 percent
cadence: 47 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_speed: 4.866 m/s
gps_accuracy: 3 m
heart_rate: 88 bpm
left_pedal_smoothness: 24.0 percent
left_torque_effectiveness: 87.5 percent
position_lat: -303080516 semicircles
position_long: -587532060 semicircles
power: 196 watts
right_pedal_smoothness: 29.5 percent
right_torque_effectiveness: 95.5 percent
speed: 4.866 m/s
timestamp: 2021-01-12 09:44:55

cadence: 48 rpm
calories: 0 kcal
distance: 4.0 m
enhanced_speed: 4.771 m/s
gps_accuracy: 3 m
heart_rate: 89 bpm
left_pedal_smoothness: 23.5 percent
left_torque_effectiveness: 82.0 percent
position_lat: -303080850 semicircles
position_long: -587531764 semicircles
power: 158 watts
right_pedal_smoothness: 27.0 percent
right_torque_effectiveness: 91.0 percent
speed: 4.771 m/s
timestamp: 2021-01-12 09:44:56

cadence: 49 rpm
calories: 0 kcal
distance: 8.81 m
enhanced_speed: 5.05 m/s
gps_accuracy: 3 m
heart_rate: 89 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 49
left_torque_effectiveness: 76.0 percent
position_lat: -303081244 semicircles
position_long: -587531378 semicircles
power: 121 watts
right_pedal_smoothness: 24.0 percent
right_torque_effectiveness: 86.0 percent
speed: 5.05 m/s
timestamp: 2021-01-12 09:44:57

cadence: 50 rpm
calories: 0 kcal
distance: 13.81 m
enhanced_speed: 5.115 m/s
gps_accuracy: 3 m
heart_rate: 91 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 49
left_torque_effectiveness: 68.5 percent
position_lat: -303081670 semicircles
position_long: -587531005 semicircles
power: 98 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 75.5 percent
speed: 5.115 m/s
timestamp: 2021-01-12 09:44:58

cadence: 51 rpm
calories: 0 kcal
distance: 18.99 m
enhanced_speed: 5.263 m/s
gps_accuracy: 3 m
heart_rate: 91 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 49
left_torque_effectiveness: 65.0 percent
position_lat: -303082100 semicircles
position_long: -587530608 semicircles
power: 96 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 72.5 percent
speed: 5.263 m/s
temperature: 19 C
timestamp: 2021-01-12 09:44:59

cadence: 51 rpm
calories: 0 kcal
distance: 24.45 m
enhanced_speed: 5.376 m/s
gps_accuracy: 3 m
heart_rate: 93 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 49
left_torque_effectiveness: 66.5 percent
position_lat: -303082564 semicircles
position_long: -587530236 semicircles
power: 101 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 68.5 percent
speed: 5.376 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:00

cadence: 49 rpm
calories: 0 kcal
distance: 29.84 m
enhanced_speed: 5.329 m/s
gps_accuracy: 3 m
heart_rate: 94 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 49
left_torque_effectiveness: 65.5 percent
position_lat: -303083034 semicircles
position_long: -587529844 semicircles
power: 86 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 64.0 percent
speed: 5.329 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:01

cadence: 35 rpm
calories: 0 kcal
distance: 35.17 m
enhanced_speed: 5.19 m/s
gps_accuracy: 3 m
heart_rate: 94 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 47
left_torque_effectiveness: 59.5 percent
position_lat: -303083486 semicircles
position_long: -587529462 semicircles
power: 62 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 62.5 percent
speed: 5.19 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:02

cadence: 22 rpm
calories: 0 kcal
distance: 40.51 m
enhanced_speed: 5.124 m/s
gps_accuracy: 3 m
heart_rate: 96 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 42
left_torque_effectiveness: 61.0 percent
position_lat: -303083920 semicircles
position_long: -587529061 semicircles
power: 38 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 62.5 percent
speed: 5.124 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:03

cadence: 8 rpm
calories: 0 kcal
distance: 45.71 m
enhanced_speed: 4.896 m/s
gps_accuracy: 3 m
heart_rate: 96 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 37
left_torque_effectiveness: 62.5 percent
position_lat: -303084353 semicircles
position_long: -587528651 semicircles
power: 14 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.0 percent
speed: 4.896 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:04

cadence: 0 rpm
calories: 0 kcal
distance: 50.51 m
enhanced_speed: 4.719 m/s
gps_accuracy: 3 m
heart_rate: 96 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 33
left_torque_effectiveness: 64.5 percent
position_lat: -303084730 semicircles
position_long: -587528279 semicircles
power: 0 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.0 percent
speed: 4.719 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:05

cadence: 0 rpm
calories: 0 kcal
distance: 55.53 m
enhanced_speed: 4.917 m/s
gps_accuracy: 3 m
heart_rate: 97 bpm
left_pedal_smoothness: 20.0 percent
left_right_balance: 28
left_torque_effectiveness: 66.0 percent
position_lat: -303085160 semicircles
position_long: -587527883 semicircles
power: 0 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.0 percent
speed: 4.917 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:06

altitude: 903.2 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 60.47 m
enhanced_altitude: 903.2 m
enhanced_speed: 4.809 m/s
gps_accuracy: 3 m
grade: 0.0 %
heart_rate: 96 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 23
left_torque_effectiveness: 67.5 percent
position_lat: -303085572 semicircles
position_long: -587527516 semicircles
power: 0 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.0 percent
speed: 4.809 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:07

altitude: 903.2 m
ascent: 0 m
cadence: 13 rpm
calories: 0 kcal
distance: 65.62 m
enhanced_altitude: 903.2 m
enhanced_speed: 4.905 m/s
gps_accuracy: 3 m
grade: 0.0 %
heart_rate: 96 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 18
left_torque_effectiveness: 69.5 percent
position_lat: -303086007 semicircles
position_long: -587527145 semicircles
power: 37 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 63.5 percent
speed: 4.905 m/s
temperature: 19 C
timestamp: 2021-01-12 09:45:08

altitude: 903.0 m
ascent: 0 m
