Gear: Cannondale SuperSix
Date: Dec 2, 2020, 10:24:18 AM

calories: 0 kcal
heart_rate: 76 bpm
timestamp: 2020-12-02 10:24:17

altitude: 970.4000000000001 m
ascent: 0 m
battery_soc: 99.0 percent
calories: 0 kcal
distance: 0.0 m
enhanced_altitude: 970.4000000000001 m
enhanced_speed: 3.469 m/s
gps_accuracy: 2 m
grade: -1.44 %
heart_rate: 76 bpm
position_lat: -303087548 semicircles
position_long: -588616363 semicircles
speed: 3.469 m/s
timestamp: 2020-12-02 10:24:18

altitude: 970.2 m
ascent: 0 m
calories: 0 kcal
distance: 3.61 m
enhanced_altitude: 970.2 m
enhanced_speed: 2.919 m/s
gps_accuracy: 2 m
grade: -1.63 %
heart_rate: 76 bpm
position_lat: -303087651 semicircles
position_long: -588616804 semicircles
speed: 2.919 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:19

altitude: 970.2 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 6.98 m
enhanced_altitude: 970.2 m
enhanced_speed: 3.4 m/s
gps_accuracy: 2 m
grade: -1.89 %
heart_rate: 76 bpm
position_lat: -303087779 semicircles
position_long: -588617169 semicircles
power: 0 watts
speed: 3.4 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:20

altitude: 970.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 10.6 m
enhanced_altitude: 970.0 m
enhanced_speed: 3.78 m/s
gps_accuracy: 2 m
grade: -2.15 %
heart_rate: 76 bpm
position_lat: -303087819 semicircles
position_long: -588617587 semicircles
power: 0 watts
speed: 3.78 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:21

altitude: 970.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 14.79 m
enhanced_altitude: 970.0 m
enhanced_speed: 4.112 m/s
gps_accuracy: 2 m
grade: -2.38 %
heart_rate: 76 bpm
position_lat: -303087785 semicircles
position_long: -588618084 semicircles
power: 0 watts
speed: 4.112 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:22

altitude: 969.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 18.76 m
enhanced_altitude: 969.8 m
enhanced_speed: 4.069 m/s
gps_accuracy: 2 m
grade: -2.54 %
heart_rate: 75 bpm
position_lat: -303087626 semicircles
position_long: -588618524 semicircles
power: 0 watts
speed: 4.069 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:23

altitude: 969.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 22.54 m
enhanced_altitude: 969.8 m
enhanced_speed: 3.56 m/s
gps_accuracy: 2 m
grade: -2.54 %
heart_rate: 75 bpm
position_lat: -303087414 semicircles
position_long: -588618884 semicircles
power: 0 watts
speed: 3.56 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:24

altitude: 969.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 26.02 m
enhanced_altitude: 969.8 m
enhanced_speed: 3.341 m/s
gps_accuracy: 2 m
grade: -2.33 %
heart_rate: 75 bpm
position_lat: -303087120 semicircles
position_long: -588619150 semicircles
power: 0 watts
speed: 3.341 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:25

altitude: 969.8 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 29.14 m
enhanced_altitude: 969.8 m
enhanced_speed: 3.169 m/s
gps_accuracy: 2 m
grade: -1.97 %
heart_rate: 76 bpm
position_lat: -303086819 semicircles
position_long: -588619328 semicircles
power: 0 watts
speed: 3.169 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:26

altitude: 970.0 m
ascent: 0 m
cadence: 14 rpm
calories: 0 kcal
distance: 32.15 m
enhanced_altitude: 970.0 m
enhanced_speed: 3.243 m/s
gps_accuracy: 2 m
grade: -0.62 %
heart_rate: 76 bpm
position_lat: -303086506 semicircles
position_long: -588619417 semicircles
power: 65 watts
speed: 3.243 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:27

altitude: 970.0 m
ascent: 0 m
cadence: 28 rpm
calories: 0 kcal
distance: 35.05 m
enhanced_altitude: 970.0 m
enhanced_speed: 2.892 m/s
gps_accuracy: 2 m
grade: -0.43 %
heart_rate: 76 bpm
left_pedal_smoothness: 25.5 percent
left_right_balance: 61
left_torque_effectiveness: 85.5 percent
position_lat: -303086209 semicircles
position_long: -588619508 semicircles
power: 135 watts
right_pedal_smoothness: 24.0 percent
right_torque_effectiveness: 82.5 percent
speed: 2.892 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:28

altitude: 970.2 m
ascent: 0 m
cadence: 28 rpm
calories: 0 kcal
distance: 38.0 m
enhanced_altitude: 970.2 m
enhanced_speed: 3.042 m/s
gps_accuracy: 2 m
grade: -0.18 %
heart_rate: 77 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 57
left_torque_effectiveness: 84.5 percent
position_lat: -303085886 semicircles
position_long: -588619604 semicircles
power: 139 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 82.5 percent
speed: 3.042 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:29

altitude: 970.2 m
ascent: 0 m
cadence: 27 rpm
calories: 0 kcal
distance: 41.12 m
enhanced_altitude: 970.2 m
enhanced_speed: 3.178 m/s
gps_accuracy: 2 m
grade: 0.56 %
heart_rate: 77 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 53
left_torque_effectiveness: 84.0 percent
position_lat: -303085568 semicircles
position_long: -588619737 semicircles
power: 144 watts
right_pedal_smoothness: 21.0 percent
right_torque_effectiveness: 82.5 percent
speed: 3.178 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:30

altitude: 970.4000000000001 m
ascent: 0 m
cadence: 27 rpm
calories: 0 kcal
distance: 44.16 m
enhanced_altitude: 970.4000000000001 m
enhanced_speed: 3.257 m/s
gps_accuracy: 2 m
grade: 1.32 %
heart_rate: 79 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 49
left_torque_effectiveness: 83.0 percent
position_lat: -303085269 semicircles
position_long: -588619825 semicircles
power: 135 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 82.5 percent
speed: 3.257 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:31

altitude: 970.4000000000001 m
ascent: 0 m
cadence: 26 rpm
calories: 0 kcal
distance: 47.33 m
enhanced_altitude: 970.4000000000001 m
enhanced_speed: 3.029 m/s
gps_accuracy: 2 m
grade: 2.03 %
heart_rate: 79 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 49
left_torque_effectiveness: 83.0 percent
position_lat: -303084933 semicircles
position_long: -588619873 semicircles
power: 123 watts
right_pedal_smoothness: 19.5 percent
right_torque_effectiveness: 82.0 percent
speed: 3.029 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:32

altitude: 970.5999999999999 m
ascent: 1 m
cadence: 26 rpm
calories: 0 kcal
distance: 50.21 m
enhanced_altitude: 970.5999999999999 m
enhanced_speed: 3.015 m/s
gps_accuracy: 2 m
grade: 2.59 %
heart_rate: 80 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 49
left_torque_effectiveness: 83.5 percent
position_lat: -303084634 semicircles
position_long: -588619965 semicircles
power: 113 watts
right_pedal_smoothness: 20.5 percent
right_torque_effectiveness: 81.5 percent
speed: 3.015 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:33

altitude: 970.8 m
ascent: 1 m
cadence: 26 rpm
calories: 0 kcal
distance: 53.24 m
enhanced_altitude: 970.8 m
enhanced_speed: 3.034 m/s
gps_accuracy: 2 m
grade: 3.0 %
heart_rate: 81 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 50
left_torque_effectiveness: 83.5 percent
position_lat: -303084314 semicircles
position_long: -588620056 semicircles
power: 106 watts
right_pedal_smoothness: 21.5 percent
right_torque_effectiveness: 80.5 percent
speed: 3.034 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:34

altitude: 970.8 m
ascent: 1 m
cadence: 25 rpm
calories: 1 kcal
distance: 56.11 m
enhanced_altitude: 970.8 m
enhanced_speed: 2.844 m/s
gps_accuracy: 2 m
grade: 3.27 %
heart_rate: 82 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 52
left_torque_effectiveness: 83.5 percent
position_lat: -303083999 semicircles
position_long: -588620147 semicircles
power: 100 watts
right_pedal_smoothness: 22.5 percent
right_torque_effectiveness: 80.0 percent
speed: 2.844 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:35

altitude: 971.0 m
ascent: 1 m
cadence: 25 rpm
calories: 1 kcal
distance: 58.99 m
enhanced_altitude: 971.0 m
enhanced_speed: 2.863 m/s
gps_accuracy: 2 m
grade: 3.31 %
heart_rate: 83 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 54
left_torque_effectiveness: 84.0 percent
position_lat: -303083705 semicircles
position_long: -588620238 semicircles
power: 95 watts
right_pedal_smoothness: 23.0 percent
right_torque_effectiveness: 79.5 percent
speed: 2.863 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:36

altitude: 971.0 m
ascent: 1 m
cadence: 24 rpm
calories: 1 kcal
distance: 61.64 m
enhanced_altitude: 971.0 m
enhanced_speed: 2.776 m/s
gps_accuracy: 2 m
grade: 3.26 %
heart_rate: 84 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 53
left_torque_effectiveness: 82.5 percent
position_lat: -303083434 semicircles
position_long: -588620328 semicircles
power: 92 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 79.0 percent
speed: 2.776 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:37

altitude: 971.2 m
ascent: 1 m
cadence: 24 rpm
calories: 1 kcal
distance: 64.39 m
enhanced_altitude: 971.2 m
enhanced_speed: 2.841 m/s
gps_accuracy: 2 m
grade: 3.22 %
heart_rate: 85 bpm
left_pedal_smoothness: 22.5 percent
left_right_balance: 52
left_torque_effectiveness: 81.5 percent
position_lat: -303083157 semicircles
position_long: -588620417 semicircles
power: 88 watts
right_pedal_smoothness: 23.5 percent
right_torque_effectiveness: 80.0 percent
speed: 2.841 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:38

altitude: 971.4000000000001 m
ascent: 1 m
cadence: 24 rpm
calories: 1 kcal
distance: 67.18 m
enhanced_altitude: 971.4000000000001 m
enhanced_speed: 2.914 m/s
gps_accuracy: 2 m
grade: 3.2 %
heart_rate: 85 bpm
left_pedal_smoothness: 23.0 percent
left_right_balance: 52
left_torque_effectiveness: 83.0 percent
position_lat: -303082863 semicircles
position_long: -588620462 semicircles
power: 99 watts
right_pedal_smoothness: 24.0 percent
right_torque_effectiveness: 82.0 percent
speed: 2.914 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:39

altitude: 971.4000000000001 m
ascent: 1 m
cadence: 24 rpm
calories: 1 kcal
distance: 69.89 m
enhanced_altitude: 971.4000000000001 m
enhanced_speed: 2.993 m/s
gps_accuracy: 2 m
grade: 3.22 %
heart_rate: 85 bpm
left_pedal_smoothness: 23.5 percent
left_right_balance: 52
left_torque_effectiveness: 85.0 percent
position_lat: -303082576 semicircles
position_long: -588620507 semicircles
power: 112 watts
right_pedal_smoothness: 24.0 percent
right_torque_effectiveness: 84.0 percent
speed: 2.993 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:40

altitude: 971.5999999999999 m
ascent: 1 m
cadence: 24 rpm
calories: 1 kcal
distance: 72.99 m
enhanced_altitude: 971.5999999999999 m
enhanced_speed: 2.954 m/s
gps_accuracy: 2 m
grade: 3.29 %
heart_rate: 85 bpm
left_pedal_smoothness: 24.0 percent
left_right_balance: 52
left_torque_effectiveness: 86.5 percent
position_lat: -303082248 semicircles
position_long: -588620602 semicircles
power: 122 watts
right_pedal_smoothness: 24.5 percent
right_torque_effectiveness: 86.5 percent
speed: 2.954 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:41

altitude: 971.5999999999999 m
ascent: 2 m
cadence: 25 rpm
calories: 1 kcal
distance: 75.85 m
enhanced_altitude: 971.5999999999999 m
enhanced_speed: 2.794 m/s
gps_accuracy: 2 m
grade: 3.36 %
heart_rate: 86 bpm
left_pedal_smoothness: 24.5 percent
left_right_balance: 51
left_torque_effectiveness: 88.0 percent
position_lat: -303081954 semicircles
position_long: -588620692 semicircles
power: 130 watts
right_pedal_smoothness: 25.0 percent
right_torque_effectiveness: 88.5 percent
speed: 2.794 m/s
temperature: 22 C
timestamp: 2020-12-02 10:24:42

altitude: 971.5999999999999 m
ascent: 2 m
cadence: 25 rpm
calories: 1 kcal
distance: 78.6 m
enhanced_altitude: 971.5999999999999 m
enhanced_speed: 2.91 m/s
gps_accuracy: 2 m
grade: 3.41 %
heart_rate: 85 bpm
left_pedal_smoothness: 26.0 percent
left_right_balance: 50
left_torque_effectiveness: 90.0 percent
position_lat: -303081655 semicircles
position_long: -588620780 semicircles
power: 138 watts
right_pedal_smoothness: 25.0 percent
