Gear: Cannondale SuperSix
Date: Jan 26, 2021, 9:35:27 AM

altitude: 940.5999999999999 m
cadence: 91 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_altitude: 940.5999999999999 m
enhanced_speed: 10.321 m/s
gps_accuracy: 2 m
heart_rate: 124 bpm
position_lat: -303071755 semicircles
position_long: -587502842 semicircles
power: 131 watts
speed: 10.321 m/s
timestamp: 2021-01-26 09:35:27

altitude: 940.4000000000001 m
ascent: 0 m
battery_soc: 78.0 percent
cadence: 89 rpm
calories: 0 kcal
distance: 7.54 m
enhanced_altitude: 940.4000000000001 m
enhanced_speed: 10.519 m/s
gps_accuracy: 2 m
grade: -1.9 %
heart_rate: 125 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 67
left_torque_effectiveness: 69.0 percent
position_lat: -303072418 semicircles
position_long: -587502325 semicircles
power: 129 watts
right_pedal_smoothness: 19.5 percent
right_torque_effectiveness: 69.0 percent
speed: 10.519 m/s
timestamp: 2021-01-26 09:35:28

altitude: 940.0 m
ascent: 0 m
cadence: 87 rpm
calories: 0 kcal
distance: 17.24 m
enhanced_altitude: 940.0 m
enhanced_speed: 10.856 m/s
gps_accuracy: 2 m
grade: -2.07 %
heart_rate: 124 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 61
left_torque_effectiveness: 66.0 percent
position_lat: -303073239 semicircles
position_long: -587501631 semicircles
power: 128 watts
right_pedal_smoothness: 17.0 percent
right_torque_effectiveness: 57.5 percent
speed: 10.856 m/s
timestamp: 2021-01-26 09:35:29

altitude: 939.5999999999999 m
ascent: 0 m
cadence: 88 rpm
calories: 0 kcal
distance: 28.3 m
enhanced_altitude: 939.5999999999999 m
enhanced_speed: 11.01 m/s
gps_accuracy: 2 m
grade: -2.27 %
heart_rate: 125 bpm
left_pedal_smoothness: 19.0 percent
left_right_balance: 54
left_torque_effectiveness: 63.5 percent
position_lat: -303074183 semicircles
position_long: -587500841 semicircles
power: 158 watts
right_pedal_smoothness: 14.5 percent
right_torque_effectiveness: 48.0 percent
speed: 11.01 m/s
timestamp: 2021-01-26 09:35:30

altitude: 939.4000000000001 m
ascent: 0 m
cadence: 90 rpm
calories: 0 kcal
distance: 39.13 m
enhanced_altitude: 939.4000000000001 m
enhanced_speed: 11.063 m/s
gps_accuracy: 2 m
grade: -2.4 %
heart_rate: 125 bpm
left_pedal_smoothness: 17.0 percent
left_right_balance: 48
left_torque_effectiveness: 59.0 percent
position_lat: -303075128 semicircles
position_long: -587500086 semicircles
power: 129 watts
right_pedal_smoothness: 19.5 percent
right_torque_effectiveness: 64.0 percent
speed: 11.063 m/s
timestamp: 2021-01-26 09:35:31

altitude: 939.4000000000001 m
ascent: 0 m
cadence: 90 rpm
calories: 0 kcal
distance: 50.32 m
enhanced_altitude: 939.4000000000001 m
enhanced_speed: 11.045 m/s
gps_accuracy: 2 m
grade: -2.42 %
heart_rate: 124 bpm
left_pedal_smoothness: 17.5 percent
left_right_balance: 51
left_torque_effectiveness: 61.0 percent
position_lat: -303076109 semicircles
position_long: -587499310 semicircles
power: 144 watts
right_pedal_smoothness: 18.5 percent
right_torque_effectiveness: 62.0 percent
speed: 11.045 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:32

altitude: 939.0 m
ascent: 0 m
cadence: 90 rpm
calories: 0 kcal
distance: 61.53 m
enhanced_altitude: 939.0 m
enhanced_speed: 10.73 m/s
gps_accuracy: 2 m
grade: -2.37 %
heart_rate: 124 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 51
left_torque_effectiveness: 63.5 percent
position_lat: -303077090 semicircles
position_long: -587498523 semicircles
power: 152 watts
right_pedal_smoothness: 16.5 percent
right_torque_effectiveness: 57.5 percent
speed: 10.73 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:33

altitude: 938.8 m
ascent: 0 m
cadence: 66 rpm
calories: 0 kcal
distance: 72.52 m
enhanced_altitude: 938.8 m
enhanced_speed: 10.671 m/s
gps_accuracy: 2 m
grade: -2.32 %
heart_rate: 124 bpm
left_pedal_smoothness: None percent
left_right_balance: 50
left_torque_effectiveness: None percent
position_lat: -303078048 semicircles
position_long: -587497749 semicircles
power: 111 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 10.671 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:34

altitude: 938.5999999999999 m
ascent: 0 m
cadence: 41 rpm
calories: 0 kcal
distance: 83.62 m
enhanced_altitude: 938.5999999999999 m
enhanced_speed: 10.941 m/s
gps_accuracy: 2 m
grade: -2.26 %
heart_rate: 124 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303079027 semicircles
position_long: -587496977 semicircles
power: 70 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 10.941 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:35

altitude: 938.2 m
ascent: 0 m
cadence: 17 rpm
calories: 0 kcal
distance: 94.89 m
enhanced_altitude: 938.2 m
enhanced_speed: 11.132 m/s
gps_accuracy: 2 m
grade: -2.19 %
heart_rate: 124 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303080025 semicircles
position_long: -587496232 semicircles
power: 29 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.132 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:36

altitude: 937.5999999999999 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 106.28 m
enhanced_altitude: 937.5999999999999 m
enhanced_speed: 11.237 m/s
gps_accuracy: 2 m
grade: -2.27 %
heart_rate: 124 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303081041 semicircles
position_long: -587495476 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.237 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:37

altitude: 937.2 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 117.76 m
enhanced_altitude: 937.2 m
enhanced_speed: 11.369 m/s
gps_accuracy: 2 m
grade: -2.34 %
heart_rate: 123 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303082052 semicircles
position_long: -587494703 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.369 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:38

altitude: 936.5999999999999 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 129.41 m
enhanced_altitude: 936.5999999999999 m
enhanced_speed: 11.443 m/s
gps_accuracy: 2 m
grade: -2.48 %
heart_rate: 123 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303083079 semicircles
position_long: -587493903 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.443 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:39

altitude: 936.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 141.18 m
enhanced_altitude: 936.0 m
enhanced_speed: 11.498 m/s
gps_accuracy: 2 m
grade: -2.75 %
heart_rate: 122 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303084114 semicircles
position_long: -587493083 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.498 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:40

altitude: 935.4000000000001 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 153.0 m
enhanced_altitude: 935.4000000000001 m
enhanced_speed: 11.629 m/s
gps_accuracy: 2 m
grade: -3.1 %
heart_rate: 122 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303085152 semicircles
position_long: -587492263 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.629 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:41

altitude: 935.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 164.69 m
enhanced_altitude: 935.0 m
enhanced_speed: 11.682 m/s
gps_accuracy: 2 m
grade: -3.42 %
heart_rate: 121 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303086175 semicircles
position_long: -587491453 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.682 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:42

altitude: 934.5999999999999 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 176.37 m
enhanced_altitude: 934.5999999999999 m
enhanced_speed: 11.589 m/s
gps_accuracy: 2 m
grade: -3.67 %
heart_rate: 121 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303087200 semicircles
position_long: -587490659 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.589 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:43

altitude: 934.0 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 187.98 m
enhanced_altitude: 934.0 m
enhanced_speed: 11.507 m/s
gps_accuracy: 2 m
grade: -3.84 %
heart_rate: 120 bpm
left_pedal_smoothness: None percent
left_right_balance: None
left_torque_effectiveness: None percent
position_lat: -303088221 semicircles
position_long: -587489861 semicircles
power: 0 watts
right_pedal_smoothness: None percent
right_torque_effectiveness: None percent
speed: 11.507 m/s
temperature: 17 C
timestamp: 2021-01-26 09:35:44

altitude: 933.5999999999999 m
ascent: 0 m
cadence: 0 rpm
calories: 0 kcal
distance: 199.79 m
enhanced_altitude: 933.5999999999999 m
enhanced_speed: 11.606 m/s
gps_accuracy: 2 m
grade: -3.92 %
heart_rate: 119 bpm
left_pedal_smoothness: None percent
