Gear: Cannondale SuperSix
Date: Nov 15, 2020, 11:05:04 AM

distance: 0.0 m
enhanced_speed: 3.182 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
position_lat: -303052345 semicircles
position_long: -587538842 semicircles
speed: 3.182 m/s
timestamp: 2020-11-15 11:05:04

battery_soc: 65.0 percent
cadence: 0 rpm
calories: 0 kcal
distance: 2.01 m
enhanced_speed: 3.196 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
position_lat: -303052550 semicircles
position_long: -587538783 semicircles
power: 0 watts
speed: 3.196 m/s
timestamp: 2020-11-15 11:05:05

altitude: 944.2 m
cadence: 12 rpm
calories: 0 kcal
distance: 4.68 m
enhanced_altitude: 944.2 m
enhanced_speed: 3.247 m/s
gps_accuracy: 2 m
heart_rate: 83 bpm
position_lat: -303052827 semicircles
position_long: -587538689 semicircles
power: 0 watts
speed: 3.247 m/s
timestamp: 2020-11-15 11:05:06

altitude: 944.2 m
ascent: 0 m
cadence: 19 rpm
calories: 0 kcal
distance: 8.1 m
enhanced_altitude: 944.2 m
enhanced_speed: 3.362 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 84 bpm
left_pedal_smoothness: 0.0 percent
position_lat: -303053181 semicircles
position_long: -587538553 semicircles
power: 6 watts
right_pedal_smoothness: 0.0 percent
speed: 3.362 m/s
temperature: 21 C
timestamp: 2020-11-15 11:05:07

altitude: 944.0 m
ascent: 0 m
cadence: 23 rpm
calories: 0 kcal
distance: 11.42 m
enhanced_altitude: 944.0 m
enhanced_speed: 3.395 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 83 bpm
left_pedal_smoothness: 11.0 percent
left_right_balance: 100
left_torque_effectiveness: 52.0 percent
position_lat: -303053510 semicircles
position_long: -587538397 semicircles
power: 17 watts
right_pedal_smoothness: 0.0 percent
speed: 3.395 m/s
temperature: 21 C
timestamp: 2020-11-15 11:05:08

altitude: 944.0 m
ascent: 0 m
cadence: 39 rpm
calories: 0 kcal
distance: 14.68 m
enhanced_altitude: 944.0 m
enhanced_speed: 3.367 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 83 bpm
left_pedal_smoothness: 17.5 percent
left_right_balance: 100
left_torque_effectiveness: 50.5 percent
position_lat: -303053827 semicircles
position_long: -587538236 semicircles
power: 13 watts
right_pedal_smoothness: 0.0 percent
speed: 3.367 m/s
temperature: 21 C
timestamp: 2020-11-15 11:05:09

altitude: 944.0 m
ascent: 0 m
cadence: 38 rpm
calories: 0 kcal
distance: 17.93 m
enhanced_altitude: 944.0 m
enhanced_speed: 3.347 m/s
