Gear: Cannondale SuperSix
Date: Dec 13, 2020, 10:50:53 AM

altitude: 941.5999999999999 m
enhanced_altitude: 941.5999999999999 m
timestamp: 2020-12-13 10:50:52

altitude: 941.5999999999999 m
ascent: 0 m
battery_soc: 82.0 percent
cadence: 68 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_altitude: 941.5999999999999 m
enhanced_speed: 6.357 m/s
gps_accuracy: 2 m
grade: 0.0 %
heart_rate: 124 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 52
left_torque_effectiveness: 65.0 percent
position_lat: -303064337 semicircles
position_long: -587509623 semicircles
power: 80 watts
right_pedal_smoothness: 25.0 percent
right_torque_effectiveness: 78.5 percent
speed: 6.357 m/s
timestamp: 2020-12-13 10:50:53

altitude: 938.4000000000001 m
ascent: 0 m
cadence: 44 rpm
calories: 0 kcal
distance: 6.6 m
enhanced_altitude: 938.4000000000001 m
enhanced_speed: 7.174 m/s
gps_accuracy: 2 m
grade: -2.88 %
heart_rate: 102 bpm
left_pedal_smoothness: 14.5 percent
left_right_balance: 44
left_torque_effectiveness: 50.5 percent
position_lat: -303076686 semicircles
position_long: -587498479 semicircles
power: 61 watts
right_pedal_smoothness: 9.5 percent
right_torque_effectiveness: 33.0 percent
speed: 7.174 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:39

altitude: 938.2 m
ascent: 0 m
cadence: 78 rpm
calories: 0 kcal
distance: 13.7 m
enhanced_altitude: 938.2 m
enhanced_speed: 7.434 m/s
gps_accuracy: 2 m
grade: -2.87 %
heart_rate: 101 bpm
left_pedal_smoothness: 18.0 percent
left_right_balance: 48
left_torque_effectiveness: 61.5 percent
position_lat: -303077300 semicircles
position_long: -587497979 semicircles
power: 166 watts
right_pedal_smoothness: 14.5 percent
right_torque_effectiveness: 51.0 percent
speed: 7.434 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:40

altitude: 938.0 m
ascent: 0 m
cadence: 77 rpm
calories: 0 kcal
distance: 21.3 m
enhanced_altitude: 938.0 m
enhanced_speed: 7.403 m/s
gps_accuracy: 2 m
grade: -2.82 %
heart_rate: 101 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 52
left_torque_effectiveness: 71.5 percent
position_lat: -303077960 semicircles
position_long: -587497433 semicircles
power: 156 watts
right_pedal_smoothness: 19.0 percent
right_torque_effectiveness: 65.5 percent
speed: 7.403 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:41

altitude: 937.8 m
ascent: 0 m
cadence: 79 rpm
calories: 0 kcal
distance: 29.18 m
enhanced_altitude: 937.8 m
enhanced_speed: 8.042 m/s
gps_accuracy: 2 m
grade: -2.75 %
heart_rate: 101 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 54
left_torque_effectiveness: 72.5 percent
position_lat: -303078619 semicircles
position_long: -587496843 semicircles
power: 153 watts
right_pedal_smoothness: 18.5 percent
right_torque_effectiveness: 63.5 percent
speed: 8.042 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:42

altitude: 937.5999999999999 m
ascent: 0 m
cadence: 86 rpm
calories: 0 kcal
distance: 37.59 m
enhanced_altitude: 937.5999999999999 m
enhanced_speed: 8.609 m/s
gps_accuracy: 2 m
grade: -2.7 %
heart_rate: 101 bpm
left_pedal_smoothness: 18.5 percent
left_right_balance: 46
left_torque_effectiveness: 69.0 percent
position_lat: -303079302 semicircles
position_long: -587496205 semicircles
power: 159 watts
right_pedal_smoothness: 18.0 percent
right_torque_effectiveness: 63.0 percent
speed: 8.609 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:43

altitude: 937.2 m
ascent: 0 m
cadence: 90 rpm
calories: 0 kcal
distance: 46.65 m
enhanced_altitude: 937.2 m
enhanced_speed: 9.091 m/s
gps_accuracy: 2 m
grade: -2.7 %
heart_rate: 101 bpm
left_pedal_smoothness: 19.5 percent
left_right_balance: 49
left_torque_effectiveness: 67.0 percent
position_lat: -303080066 semicircles
position_long: -587495531 semicircles
power: 140 watts
right_pedal_smoothness: 18.5 percent
right_torque_effectiveness: 64.5 percent
speed: 9.091 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:44

altitude: 936.5999999999999 m
ascent: 0 m
cadence: 89 rpm
calories: 0 kcal
distance: 56.14 m
enhanced_altitude: 936.5999999999999 m
enhanced_speed: 9.277 m/s
gps_accuracy: 2 m
grade: -2.86 %
heart_rate: 101 bpm
left_pedal_smoothness: 21.0 percent
left_right_balance: 54
left_torque_effectiveness: 68.0 percent
position_lat: -303080894 semicircles
position_long: -587494885 semicircles
power: 92 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 68.5 percent
speed: 9.277 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:45

altitude: 936.0 m
ascent: 0 m
cadence: 82 rpm
calories: 0 kcal
distance: 65.74 m
enhanced_altitude: 936.0 m
enhanced_speed: 9.64 m/s
gps_accuracy: 2 m
grade: -3.22 %
heart_rate: 102 bpm
left_pedal_smoothness: 20.5 percent
left_right_balance: 59
left_torque_effectiveness: 66.5 percent
position_lat: -303081760 semicircles
position_long: -587494246 semicircles
power: 104 watts
right_pedal_smoothness: 20.0 percent
right_torque_effectiveness: 68.5 percent
speed: 9.64 m/s
temperature: 21 C
timestamp: 2020-12-13 10:51:46

altitude: 935.4000000000001 m
ascent: 0 m
cadence: 80 rpm
calories: 0 kcal
distance: 75.44 m
enhanced_altitude: 935.4000000000001 m
enhanced_speed: 9.884 m/s
